Nombre;Muestra;Cod. Hex.;R;G;B;H;S;V
Cerúleo (específico);;#0087D1;0;135;209;201°;100%;82%
Cerúleo (inespecífico);;#A7D3F3;167;211;243;205°;31%;95%
Celeste (azul cian claro) (sRGB);;#80BFFF;128;191;255;210°;50%;100%
Celeste;;#0CB7F2;12;183;242;195°;95%;95%
Azul Majorelle;;#5564EB;85;100;235;234°;64%;92%
Azul aciano;;#8892C6;136;146;198;230°;31%;78%
Azul (web) (sRGB);;#0000FF;0;0;255;240°;100%;100%
Azul;;#0070B8;0;112;184;203°;100%;72%
Azul marino (azul oscuro) (sRGB);;#000080;0;0;128;240°;100%;50%
Índigo;;#091F92;9;31;146;230°;94%;57%
Azul violáceo, azul violeta, índigo, o añil (sRGB);;#4000FF;64;0;255;255°;100%;100%
Azul purpúreo, azul púrpura, índigo, o añil (sRGB);;#4000BF;64;0;191;260°;100%;75%
Azul cobalto (específico);;#333C87;51;60;135;234°;62%;53%
Azul cobalto (pictórico);;#00438A;0;67;138;211°;100%;54%
Azul cobalto claro (pictórico);;#091F92;9;31;146;230°;94%;57%
Azul cobalto oscuro (pictórico);;#004F79;0;79;121;201°;100%;47%
Azul de Prusia;;#003153;0;49;83;205°;100%;33%
Azul egipcio;;#1034A6;16;52;166;226°;90%;65%
Esmalte azul;;#1C283C;28;40;60;218°;17%;36%
Azul marino;;#00304E;0;48;78;203°;100%;31%
Azul turquesa;;#007E8B;0;126;139;186°;100%;55%
Azul ultramar (pictórico);;#0A3F7A;10;63;122;212°;92%;48%
Azul ultramar (específico);;#436EC0;67;110;192;219°;65%;75%
Cerúleo (pictórico);;#006594;0;101;148;199°;100%;58%
Índigo (específico);;#003C92;0;60;146;215°;100%;57%
Índigo (pictórico);;#213C6E;33;60;110;219°;70%;43%
Orcela;;#25206F;37;32;111;244°;71%;44%
Quisqueya;;#115599;10;63;122;212°;92%;48%
Turquí;;#122562;18;37;98;216°;100%;42%
Zafiro (inespecífico);;#6576B4;101;118;180;227°;44%;71%
Azul purpúreo;;#382983;56;41;131;250°;69%;51%
Púrpura azulado;;#612682;97;38;130;278°;71%;51%
Violeta (sRGB);;#8000FF;128;0;255;280°;100%;100%
Púrpura (web) (magenta oscuro) (sRGB);;#800080;128;0;128;300°;100%;50%
Violeta o azul púrpura;;#4C2882;76;40;130;264°;69%;51%
Morado (inespecífico);;#572364;87;35;100;288°;65%;39%
Morado (inespecífico, otro);;#4A2364;74;35;100;276°;65%;39%
Púrpura eléctrico (violeta magenta) (sRGB);;#BF00FF;191;0;255;285°;100%;100%
Púrpura;;#7D2181;125;33;129;298°;74%;51%
Púrpura de Tiro;;#4E0041;78;0;65;310°;100%;31%
Púrpura de Perkin;;#9F68A6;159;104;166;293°;37%;65%
Fandango (magenta grisáceo) (sRGB);;#BF40BF;191;64;191;300°;67%;75%
Burdeos o bordó;;#7F1E57;127;30;87;325°;76%;50%
Violín;;#A10684;161;6;132;311°;96%;63%
Zafiro;;#7573A6;117;115;166;242°;31%;65%
Lavanda (violeta claro) (sRGB);;#BF80FF;191;128;255;270°;50%;100%
Malva (púrpura eléctrico claro) (sRGB);;#DF80FF;159;128;255;285°;50%;100%
Amatista;;#898AC0;137;138;192;239°;29%;75%
Lirio;;#7F69A5;127;105;165;262°;36%;65%
Lila claro;;#DCD0FF;220;208;255;255°;18%;100%
Lila lavanda;;#D3C1DD;211;193;221;279°;13%;87%
Lila francés;;#DEB7D9;222;183;217;308°;18%;87%
Malva;;#E0B0FF;224;176;255;276°;31%;100%
Lila (Crayola);;#D891EF;216;145;239;285°;39%;94%
Lila;;#C8A2C8;200;162;200;300°;19%;78%
Lavanda (inespecífico);;#B57EDC;181;126;220;275°;43%;86%
Lila;;#B666D2;182;102;210;284°;51%;82%
Lila;;#9E81B9;158;129;185;271°;30%;73%
Magenta (web) (sRGB);;#FF00FF;255;0;255;300°;100%;100%
Magenta;;#F50087;245;0;135;327°;100%;96%
Magenta (inespecífico);;#D40D7D;212;13;125;326°;94%;83%
Rosa o rosado (fucsia claro) (sRGB);;#FF80BF;255;128;191;330°;100%;100%
Rosa;;#F6AE97;246;174;151;15°;39%;96%
Rosa (inespecífico);;#F7BFBE;247;191;190;1°;23%;97%
Fucsia (rojo magenta) (sRGB);;#FF0080;255;0;128;330°;100%;100%
Fucsia;;#FF005A;255;0;90;339°;100%;100%
Rojo púrpura (sRGB);;#BF0040;191;0;64;340°;100%;75%
Carne o piel;;#FCD0B4;252;208;180;23°;29%;99%
Orceína;;#C20073;194;0;115;324°;100%;76%
Rosa coral;;#EB6362;235;99;98;0°;58%;92%
Rosa mexicano;;#E4007C;245;0;135;327°;100%;96%
Salmón;;#F28773;242;135;115;9°;52%;95%
Púrpura rojizo;;#A11480;161;20;128;314°;88%;63%
Rojo púrpura;;#E40078;228;0;120;328°;100%;89%
Rojo purpúreo;;#E30049;227;0;73;341°;100%;89%
Blanco;;#FFFFFF;255;255;255;—°;0%;100%
Blanco de zinc;;#FAFBFD;250;251;253;220°;1%;99%
Gris (web) (sRGB);;#808080;128;128;128;—°;0%;50%
Gris;;#989898;152;152;152;—°;0%;60%
Gris claro (sRGB);;#BFBFBF;191;191;191;—°;0%;75%
Gris oscuro (sRGB);;#404040;64;64;64;—°;0%;25%
Gris acorazado;;#848482;132;132;130;60°;2%;52%
Gris (automotriz);;#909090;144;144;144;—°;0%;56%
Gris cadete;;#81878B;129;135;139;204°;7%;55%
Gris frío;;#496063;73;96;99;187°;26%;39%
Gris de Davy o plomo;;#555555;85;85;85;—°;0%;33%
Bistre;;#80755A;128;117;90;43°;30%;50%
Gris ceniza;;#CDCDCD;205;205;205;—°;0%;80%
Gris de Davy;;#555555;85;85;85;0°;0%;33%
Gris de Payne (Payne’s grey) oscuro;;#36454F;54;69;79;204°;32%;31%
Gris de Payne o azul pizarra;;#536878;83;104;120;206°;31%;47%
